기사 제목,내용,링크
오토모티브월드코리아 x 한국전자제조산업전 4월 16일 코엑스에서 개막,"전자제조, 스마트팩토리, 자동차 산업을 한눈에 확인할 수 있는 오토모티브월드코리아(Automotive World Korea)와 한국전자제조산업전(Electronics Manufacturing Korea)이 4월 16",https://n.news.naver.com/mnews/article/030/0003303933
"[게임사 곳간 점검]스마일게이트, 굳건한 현금창출력 입증",지난해 1인칭슈팅게임(FPS) '크로스파이어'로 게임 업계 3강에 진입한 스마일게이트가 굳건한 현금창출력을 입증했다. 순이익이 절반 가까이 감소했지만 현금흐름은 상당히 개선됐다. 순이익에 영향을 미친 회계 항목이 실,https://n.news.naver.com/mnews/article/293/0000066181
"노태문 ""미래 신사업 발굴, 판매단 운영에 집중""","삼성전자 디바이스경험(DX)부문장 직무대행을 맡은 노태문 모바일경험(MX)사업부장은 16일 MX사업부 구성원들에게 미래 신사업 발굴, 판매단 운영 등에 집중하겠다고 밝혔다. 노 직무대행은 이날 MX사업부 임직원들에게",https://n.news.naver.com/mnews/article/014/0005336767
"KT ""웨이브와의 합병, 티빙 주주가치에 부합하는지 의문""","KT가 온라인동영상서비스(OTT) 티빙과 웨이브 합병에 대해 ""KT 의사와는 무관하게 합병을 전제로 한 길을 가고 있다""며 ""티빙 주주 가치에 부합하는 것인지 의문""이라고 우려했다. 김채희 KT 미디어부문장(전무)은",https://n.news.naver.com/mnews/article/003/0013187168
"KOSA, 호프 데이 행사 성황리에 개최…회원사 교류·협력 기대",한국소프트웨어산업협회(KOSA)가 15일 서울 송파구 문정동에서 'KOSA 호프 데이 위드 KSTA'(호프데이)를 개최했다. KOSA는 지역별 회원사 교류·협력을 통해 비즈니스 기회를 창출하고자 주기적으로 호프데이를,https://n.news.naver.com/mnews/article/030/0003303929
산악구조대가 착용하는 웨어러블 로봇 '살펴보니',웨어러블 로봇 전문기업 위로보틱스가 16일 그랜드 하얏트 서울에서 경량 보행보조 로봇 'WIM S(윔 에스)를 출시했다. 윔은 지리산 산악구조대가 조난객을 구조할 때 착용할 만큼 뛰어난 보행보조 성능으로 화제를 모은,https://n.news.naver.com/mnews/article/648/0000035373
"이재명 선대위 ""딥페이크로 후보자 비방, 고발장 접수""","이재명 더불어민주당 대선 예비후보 선거대책위원회는 16일 이 예비후보 얼굴을 합성한 딥페이크 영상물 유포자를 상대로 고발 등 법적 대응을 진행한다고 밝혔다. 선대위는 이날 서면 공지를 통해 “최근 일부 유튜브, 커뮤",https://n.news.naver.com/mnews/article/092/0002370845
[유리기판 테크데이] 삼성전기 “반도체 유리기판 생태계 만들겠다”,삼성전기가 반도체 유리기판 생태계를 구축한다. 차세대 기판으로 주목받는 유리기판의 신속한 상용화와 기술 난제를 해결하기 위해서다. 소재·부품·장비(소부장) 및 공정 협력 체계를 구축해 시장 주도권을 쥐겠다는 의지도 ,https://n.news.naver.com/mnews/article/030/0003303910
"우주청, 우주 위성 기업과 '클라우드 활용 전략' 논의",우주항공청은 16일 열린 '아마존웹서비스(AWS) 스페이스 데이 2025' 행사에 참석해 우주 위성 관련 기업들과 소통했다고 밝혔다. AWS와 국내 대표 클라우드 인프라 관리 서비스 제공 기업(MSP) 메가존클라우드,https://n.news.naver.com/mnews/article/003/0013187119
"우주청 ""우주 임무에 AI 기반 기술 활용 추진전략 마련""",우주항공청은 16일 서울에서 열린 '아마존웹서비스(AWS) 스페이스 데이 2025'에 참석해 우주 임무에 인공지능(AI) 기반 기술을 활용하기 위한 추진 전략을 마련한다고 밝혔다. 이번 행사는 생성형 AI 활용 위성,https://n.news.naver.com/mnews/article/001/0015333626
"국힘, 대선 후보자 8명 압축...22일 4명 컷오프","국민의힘이 대통령선거 1차 경선 진출자로 총 8명을 확정했다. 후보자는 김문수 전 고용노동부 장관, 나경원 의원, 안철수 의원, 양향자 전 의원, 유정복 인천시장, 이철우 경북도지사, 한동훈 전 국민의힘 대표, 홍준",https://n.news.naver.com/mnews/article/092/0002370842
"업스테이지, 日 특화 SLM 개발…글로벌 업무용 AI 시장 공략 박차",인공지능(AI) 기술 기업 업스테이지가 일본 특화 경량언어모델(SLM)을 개발하는 등 미국·일본 중심 글로벌 업무용 AI 시장 공략에 박차를 가한다. 거대언어모델(LLM) '솔라 프로'와 '다큐먼트 파스(DP)' 등,https://n.news.naver.com/mnews/article/030/0003303906
"마이크로디지탈의 ‘든든한 내편’, 美서 관세전쟁 반사익 기대",이 기사는 2025년04월15일 10시53분에 팜이데일리 프리미엄 콘텐츠로 선공개 되었습니다. 바이오 소재·부품·장비(소부장) 회사 마이크로디지탈(305090)이 북미 시장 공략을 이달부터 개시했다. 마이크로디지탈은,https://n.news.naver.com/mnews/article/018/0005989202
"엔코아, 아이엔소프트와 데이터웨어 영업 협약","엔코아가 클라우드·인공지능(AI) 서비스 기업 아이엔소프트와 데이터 통합관리 솔루션, 데이터웨어(DATAWARE™) 영업 파트너 협약을 체결했다. 아이엔소프트는 엔코아의 데이터웨어 제품 판매권을 확보했다. 데이터웨어",https://n.news.naver.com/mnews/article/030/0003303904
토종 OTT 연합에 의문 제기한 'KT'…독자 노선 강화,"KT가 티빙-웨이브 주도의 '토종 OTT(온라인동영상서비스) 연합'에 대해 불편한 속내를 드러냈다. 기업결합은 티빙 2대 주주인 KT(KT스튜디오지니) 의사와 무관하게 추진됐으며, 주주가치 제고 측면에서도 회의적이라",https://n.news.naver.com/mnews/article/119/0002945894
"'MS 손잡은' KT, 미디어 사업 AX 가속화…5000억 투자(종합)",마이크로소프트(MS)와 손잡은 KT(030200)가 위기의 미디어 콘텐츠 사업 전반에 인공지능(AI) 기술을 접목하는 등 인공지능 전환(AX)을 가속화한다. 이와 함께 그룹 차원에서 2026년까지 5000억원을 투자,https://n.news.naver.com/mnews/article/421/0008196148
"NHN클라우드, 매출 성장 속 투자 속도 줄였다",NHN클라우드가 2024년에 매출을 30% 이상 끌어올렸다. 영업손실 폭도 절반 수준으로 줄이며 2025년 흑자 전환 가능성을 높였다. 동시에 대형 지출 없이 투자 속도를 조절하고 은행 차입으로 재원을 조달하는 등 ,https://n.news.naver.com/mnews/article/293/0000066180
"다인리더스, 동원과학기술대-어빌리티랩과 외국인 유학생 유치 및 지원 위한 3자 업무협약","다인리더스(대표 임무호)는 동원과학기술대(총장 장인성), 어빌리티랩(대표 이형진)과 외국인 유학생의 안정적인 유치와 체계적인 지원을 위한 3자 업무협약(MOU)을 체결했다고 밝혔다. 이번 협약은 전문대학의 글로벌 경",https://n.news.naver.com/mnews/article/030/0003303896
"디플정위, 공공 초거대 AI 기본지침 '가이드라인 2.0' 배포",디지털플랫폼정부위원회가 행정·공공기관에서 최신 인공지능(AI) 기술을 효과적이고 안전하게 활용하도록 '공공부문 초거대 AI 도입·활용 가이드라인 2.0'을 마련해 배포한다. 지난 2024년 4월 첫 가이드라인 발표 ,https://n.news.naver.com/mnews/article/030/0003303892
"뉴엔AI, 코스닥 예심 승인…상장 '초읽기'","코스닥 상장을 추진중인 뉴엔AI가 상장 예심을 통과해 상장에 청신호가 켜졌다. 생성형 인공지능(AI) 기반 빅데이터 분석 전문 기업 뉴엔AI(뉴엔에이아이, 구 알에스엔, 대표 배성환)이 한국거래소로부터 상장 예비심사",https://n.news.naver.com/mnews/article/030/0003303888
"크라우드웍스, '에이젠틱·검증·교육' 日 AI 시장 공략 시동","인공지능(AI) 테크 기업 크라우드웍스가 일본 시장 공략을 본격화한다. 오는 23~25일 일본 도쿄 빅사이트에서 열리는 IT 박람회 '재팬 IT 위크'에 참가, 에이전틱 AI 솔루션 '알피'를 중심으로 일본 기업에 ",https://n.news.naver.com/mnews/article/030/0003303886
이노그리드 '에듀 스퀘어' 성과 확대…클라우드 교육 허브로 도약,이노그리드가 클라우드 교육 사업에서 뚜렷한 성과를 보이며 클라우드 인재 양성 및 국내 클라우드 생태계 확산을 이끌고 있다. 이노그리드는 지난해 2월 개소한 클라우드 전문 아카데미 '에듀 스퀘어(EDU SQUARE)',https://n.news.naver.com/mnews/article/030/0003303885
"삼성SDS,'인더스트리 데이'에서 제조 기업 미래 제시",삼성SDS가 16일 잠실 스카이31 컨벤션에서 제조 기업을 대상으로 '제조의 미래를 준비하는 삼성SDS 인더스트리 데이' 세미나를 개최했다. 삼성SDS는 △제조 업종 인공지능(AI) 에이전트 활용 사례 △제조 전사자,https://n.news.naver.com/mnews/article/030/0003303883
"아이티센코어, 멀티모달 AI 콘텐츠 생성 기업 '맥케이'와 MOU","아이티센코어가 멀티모달 인공지능(AI) 콘텐츠 생성 기업 맥케이와 AI 기술 협력을 위한 전략적 업무협약(MOU)을 체결했다. 아이티센코어는 산업 특화 전사적자원관리(ERP)와 내부회계관리 등 ESG 경영 플랫폼, ",https://n.news.naver.com/mnews/article/030/0003303882
"美NIH, 4일부터 中 포함 우려 국가에 데이터 접근 차단",미국 국립보건원(NIH)이 지난 4일(현지시각)을 기해 중국을 포함한 ‘우려국가’가 NIH가 보유한 데이터에 접근하지 못하도록 차단하는 조치를 발동했다. 접근 차단 대상 국가는 ▲중국 ▲홍콩 ▲마카오 ▲러시아 ▲이란,https://n.news.naver.com/mnews/article/092/0002370837
"""올해는 AI가 인간을 넘어서기 시작하는 해""...업스테이지 ""글로벌 AI 업무 표준 주도”","""업스테이지의 인공지능(AI)은 사람을 대체하는 것이 아니라, 더 가치 있는 일에 집중할 수 있도록 지원함으로써 더 나은 ‘일의 미래’를 만드는 기술이다"" 업스테이지가 16일 서울 여의도 콘래드 호텔에서 미디어 데이",https://n.news.naver.com/mnews/article/014/0005336741
"B2B제조 플랫폼 '공장서치', 100만 바이어·67만 업체 맞춤형 검색 지원","제조업 플랫폼기업 공장서치는 제조업체와 해외 바이어들을 연결해주는 B2B 플랫폼 '공장서치'를 통해 정보 검색, 거래, 투자 등 제조업에 필요한 모든 서비스 지원에 나선다. 회사는 국내 67만개 제조업체 데이터와 해",https://n.news.naver.com/mnews/article/030/0003303877
"민주당 민병덕 의원, '가상자산거래소 도산절연법' 대표발의",더불어민주당 민병덕 의원은 16일 가상자산 이용자 보호를 위한 '가상자산거래소 도산절연법'을 대표 발의했다고 밝혔다. 현행 가상자산 이용자 보호에 관한 법률은 가상자산거래소가 이용자 자산을 회사 자산과 명확히 구분해,https://n.news.naver.com/mnews/article/092/0002370836
"업스테이지, ‘AI로 여는 일의 미래’ 전략 발표…“글로벌 AI 업무 표준 주도할 것”","인공지능(AI)스타트업 업스테이지가 16일 업무용 인공지능을 통해 글로벌 AI 업무 표준을 주도할 것이라고 미래 전략을 발표했다. 이날 서울 여의도 콘래드 호텔에서 ‘미디어 데이’에는 김성훈 대표, 이활석 최고기술책",https://n.news.naver.com/mnews/article/243/0000076446
업스테이지 “추론모델로 글로벌 AI 업무표준 주도할것”,"6월, LG 이어 추론형 AI 모델 공개 OCR·LLM 결합 비전언어모델 예고 김성훈 업스테이지 대표는 16일 콘래드 서울 호텔에서 열린 미디어데이에서 “AI를 통해 글로벌 AI 업무 표준을 주도해나가겠다”고 밝혔다",https://n.news.naver.com/mnews/article/016/0002458189
"디플정위, 공공부문 ‘AI 활용법’ 범정부 가이드라인 배포",디지털플랫폼정부위원회가 배포한 ‘공공부문 초거대 인공지능(AI) 도입·활용 가이드라인 2.0’ [디지털플랫폼정부위원회 제공] 디지털플랫폼정부위원회(이하 디플정위)는 행정·공공기관에서 활용할 수 있는 ‘공공부문 초거대,https://n.news.naver.com/mnews/article/016/0002458187
"디플정위, 안전한 AI 활용 지원 위한 범정부 가이드 배포",디지털플랫폼정부위원회는 행정·공공기관에서 최신 인공지능(AI) 기술을 효과적이고 안전하게 활용할 수 있도록 ‘공공부문 초거대 AI 도입 및 활용 가이드라인 2.0’을 마련했다고 16일 밝혔다. 디플정위는 초거대 AI,https://n.news.naver.com/mnews/article/018/0005989175
"업스테이지, 6월 국내 두 번째 추론모델 공개…“글로벌 AI 업무 표준 주도할 것”","딥시크 대적 추론 모델, LG 이어 두 번째 OCR·LLM 기술 결합 비전언어모델 예고 한국 넘어 글로벌 AI 업무 표준 정립 미·일본·동남아 AI B2B 시장 공략 김성훈 업스테이지 대표가 16일 서울 여의도 콘래",https://n.news.naver.com/mnews/article/016/0002458184
공공기관 납품 필수요건 '정보보호제품 성능평가'…무료 컨설팅,한국인터넷진흥원(KISA)은 정보보호제품 성능 평가를 준비하는 국내 중소기업의 부담을 경감하고 이들의 제품 성능 향상을 돕고자 '정보보호제품 성능평가·컨설팅'을 무료로 지원한다고 16일 밝혔다. 정보보호제품 성능평가,https://n.news.naver.com/mnews/article/421/0008196051
"KISA, 중소 정보보호제품 무료 컨설팅 신청 접수",한국인터넷진흥원(KISA)이 다음달 8일까지 정보보호제품 성능평가·컨설팅을 무료로 지원받을 국내 중소기업을 모집한다고 16일 밝혔다. KISA는 8개 제품을 선정해 오는 6~11월 맞춤형 컨설팅을 제공할 예정이다. ,https://n.news.naver.com/mnews/article/008/0005181308
"KISA, 정보보호제품 성능 향상 위한 무료 컨설팅 제공",한국인터넷진흥원(KISA)은 과학기술정보통신부와 함께 정보보호제품 성능평가를 준비하는 국내 중소기업의 부담을 경감하고 정보보호제품 성능 향상을 위해 '정보보호제품 성능평가·컨설팅'을 무료로 지원한다고 16일 밝혔다.,https://n.news.naver.com/mnews/article/029/0002948504
"“창의·혁신 융합인재 양성 박차”…GIST, 인문사회과학부 출범",임기철(오른쪽) 총장과 김건우 인문사회과학부장이 학생들과 함께 현판 제막을 하고 있다. [GIST 제공] “과학기술을 넘어 인문사회적 사유와 실천으로 자신과 세계를 깊이 있게 성찰하도록 돕는 것이 목표.”(김건우 G,https://n.news.naver.com/mnews/article/016/0002458182
"노태문 삼성 DX직무대행, ""신사업·디자인·UX 및 판매단 집중""",노태문 삼성전자(005930) 디바이스경험(DX)부문장 직무대행(사장)이 기존 모바일경험(MX) 구성원들에게 신사업 발굴 및 판매단 운영에 집중하겠다고 밝혔다. 16일 노 사장은 MX사업부 구성원들에게 보낸 사내 메,https://n.news.naver.com/mnews/article/421/0008195989
내 몸처럼 편하게,16일 오전 서울 용산구 그랜드 하얏트 서울에서 열린 위로보틱스 사의 보행 보조 웨어러블 로봇 ‘윔(WIM) S’ 출시 행사에서 제품을 착용한 모델들이 조형물을 오르내리고 있다.,https://n.news.naver.com/mnews/article/021/0002703507
"AI 스타트업 업스테이지, 자체 언어모델 공개예고",“업무용 인공지능(AI)을 통해 글로벌 AI 업무 표준을 주도해나가겠다.” 국내 AI 스타트업 업스테이지는 16일 오전 서울 영등포구 콘래드 호텔에서 기자 간담회를 열고 이같이 밝혔다. 업스테이지는 업무용 AI 성장,https://n.news.naver.com/mnews/article/021/0002703505
"관세·AI 확산에 스마트폰시장 요동… 中, 틈새 노린다",미국발(發) 관세전쟁에 따른 글로벌 공급망 재구축과 생성형 인공지능(AI) 확산으로 세계 스마트폰 시장 판도가 지각변동을 맞고 있다. 애플은 미국과 중국 간의 관세전쟁이 가열되면서 중국에 편중된 기존 생산 기반을 인,https://n.news.naver.com/mnews/article/021/0002703502
"화우·MS, 기업 위한 AI 대응 전략 세미나 개최…""CAIO 중심 체계 시급""",법무법인 화우와 한국마이크로소프트(MS)가 인공지능(AI) 기술의 발전 속도에 맞춰 기업의 전략과 법적 대응 방안을 모색하는 세미나를 열었다. 법무법인 화우는 지난 15일 서울 강남 아셈타워 화우연수원에서 MS와 손,https://n.news.naver.com/mnews/article/015/0005119933
10㎏ 뺀 빠니보틀 “위고비 광고 아냐…울렁증 시달려”,최근 10kg 감량으로 화제를 모은 여행 유튜버 겸 방송인 빠니보틀(박재한)이 비만 치료제 광고와는 어떤 관계도 없다고 밝혔다. 그러면서 부작용에 대해 경고했다. 빠니보틀은 14일 인스타그램 스토리에 자신의 감량 소,https://n.news.naver.com/mnews/article/020/0003628715
"이스트소프트, ‘알PDF’ 모바일 버전 정식 출시",이스트소프트는 자사 인기 소프트웨어 '알PDF'의 모바일 버전을 정식 출시했다고 16일 밝혔다. 알PDF 모바일은 △PDF 편집 △PDF 보호 △다양한 파일 형식으로 변환 △암호 설정 등 기존 주요 기능을 그대로 유,https://n.news.naver.com/mnews/article/029/0002948497
"[1분건강] 전신성 홍반성 루푸스, 폐 질환 위험 높인다","국내 연구진이 전신성 홍반성 루푸스 환자에서 폐질환 발생 위험이 크다는 연구 결과를 발표했다. 전신성 홍반성 루푸스란, 신체 곳곳에 염증을 일으키는 만성 자가면역질환으로 여러 장기를 침범해 여러 증상을 유발한다. 진",https://n.news.naver.com/mnews/article/092/0002370834
삼쩜삼 리서치랩 설립…초대 소장에 채이배 전 의원,"삼쩜삼을 운영하는 자비스앤빌런즈는 16일 정책연구소 '삼쩜삼 리서치랩'을 설립하고 초대 소장으로 채이배 전 의원을 선임했다고 밝혔다, 공인회계사 출신으로 경제개혁연구소 연구위원을 지낸 채 신임 소장은 20대 국회에서",https://n.news.naver.com/mnews/article/001/0015333318
"KT, 미디어 사업 3대 포트폴리오로 키운다…내년까지 5천억 투자","'KT 미디어 뉴 웨이' 전략…지니TV에 AI 에이전트 탑재, AX 조직 신설 KT가 인터넷 TV(IPTV) 플랫폼 지니 TV에 인공지능(AI) 에이전트를 탑재하고 콘텐츠 AI 전환(AX) 전문 조직을 신설하는 등 ",https://n.news.naver.com/mnews/article/001/0015333312
"오스템임플란트, 치과의사협회 창립 100주년 ‘KDX 2025’ 성료",오스템임플란트는 대한치과의사협회와 한국치과의료기기산업협회가 함께한 ‘KDX 2025’(국제치과의료기기전시회)를 성공적으로 마무리했다고 16일 밝혔다. 지난 11일부터 13일까지 인천 송도컨벤시아에 열린 ‘KDX 20,https://n.news.naver.com/mnews/article/018/0005989166
"대웅제약 “노즈가드 주 성분, 인플루엔자 A·B형 차단 효과”",대웅제약이 비강 분부 스프레이 노즈가드의 주요 성분에서 인플루엔자 A·B형의 차단 효과를 입증했다. 대웅제약은 비강 점막 보호를 위해 개발한 노즈가드의 주요 성분인 잔토모나스 발효추출물(잔토모나스)과 카모스타트 병용,https://n.news.naver.com/mnews/article/082/0001321452
"KT ""티빙-웨이브 합병, 티빙 주주가치에 부합하는지 의문""",KT(030200)가 온라인동영상서비스(OTT) 티빙과 웨이브의 합병이 티빙 주주 가치에 부합하는 지 의문이 든다는 입장을 밝혔다. 김채희 KT 미디어부문장(전무)은 16일 안다즈 서울 강남 호텔에서 열린 기자간담회,https://n.news.naver.com/mnews/article/421/0008195926
"캐딜락, 풀사이즈 SUV ‘더 뉴 에스컬레이드’ 국내 출시",캐딜락코리아는 16일 오전 경기도 광명 애경플라자에서 가진 신차발표회에서 럭셔리 풀사이즈 SUV(스포츠유틸리티차량) ‘더 뉴 에스컬레이드(이하 신형 에스컬레이드)’를 국내 공개했다. 이번에 선보이는 신차는 5세대 완,https://n.news.naver.com/mnews/article/082/0001321451
"라인게임즈, 모바일 매치3 퍼즐 ‘헬로키티 프렌즈 매치’ 소프트론칭","라인게임즈(공동대표 박성민, 조동현)는 모바일 매치3 퍼즐 타이틀 ‘헬로키티 프렌즈 매치’ 그랜드 론칭에 앞서 소프트론칭을 실시하고 사전예약을 진행한다고 16일 밝혔다. ‘헬로키티 프렌즈 매치’는 올해 라인게임즈가 ",https://n.news.naver.com/mnews/article/009/0005477246
"엔비디아 'H20' 中수출제한…""단기적 영향 적지만 AI 시장 위축""",엔비디아 중국용 AI칩 'H20'에 SK하이닉스 등 HBM 탑재 단기적 영향 크지 않을 듯…중국산 HBM 개발 부추길 수도 한지은 강태우 기자 = 미국 행정부가 엔비디아의 중국용 인공지능(AI) 가속기 'H20'에 ,https://n.news.naver.com/mnews/article/001/0015333264
"대원제약, 바르는 소염진통제 ‘삭시네쿨’ 출시",대원제약은 굴곡진 부위에도 간편하게 바를 수 있는 소염진통제 ‘삭시네쿨겔’을 출시했다고 16일 밝혔다. 삭시네쿨은 1g 중 피록시캄 성분 5㎎을 함유하고 있다. 총 용량은 75g으로 대부분의 겔 형태 제품보다 큰 대,https://n.news.naver.com/mnews/article/082/0001321450
"현대오토에버 차세대 내비, 서울모빌리티어워드서 최우수상 받아",현대오토에버는 자사 차세대 내비게이션이 '서울모빌리티어워드'에서 모빌리티서비스부문 '최우수상'을 수상했다고 16일 밝혔다. '서울모빌리티어워드'는 지난 4일부터 열흘간 경기 고양시 킨텍스에서 열린 '2025 서울모빌,https://n.news.naver.com/mnews/article/029/0002948488
"업스테이지 ""업무 특화 AI로 한국 넘어 미국·아시아 시장 공략""","""LLM 솔라 프로 1.5, 멀티모달 모델 솔라 DocVLM 6월 출시"" 국내 인공지능(AI) 기술 기업 업스테이지가 광학문자판독(OCR)과 대형언어모델(LLM)을 결합한 업무용 AI로 글로벌 시장을 공략하겠다고 밝",https://n.news.naver.com/mnews/article/001/0015333251
"삼성SDS, 생성형 AI·ERP 등 제조 특화 설루션 제시",삼성SDS(018260)는 제조 기업 대상으로 생성형 인공지능(AI) 기술과 전사자원관리(ERP) 등 제조 특화 설루션을 제시했다고 16일 밝혔다. 삼성SDS는 이날 잠실 스카이31 컨벤션에서 '제조의 미래를 준비하,https://n.news.naver.com/mnews/article/421/0008195874
"게임이용자협회, 국회 찾아 '대선 게임 공약' 제안","한국게임이용자협회가 더불어민주당, 국민의힘, 개혁신당, 진보당 등 주요 정당에 게임 이용자 정책 제안서를 전달했다고 16일 밝혔다. 협회는 이달 14일과 15일 국회를 찾아 강유정 더불어민주당 의원, 김승수 국민의힘",https://n.news.naver.com/mnews/article/421/0008195870
"KAIST, 인간 뇌처럼 반응하는 반도체 '뉴랜지스터' 개발",국내 연구진이 인간 뇌와 유사해 차세대 인공지능 핵심 반도체 소자로 부상 중인 '뉴랜지스터'를 개발하는데 성공했다. 한국과학기술원(KAIST)은 신소재공학과 김경민 교수팀이 시간에 따라 변화하는 정보를 효과적으로 처,https://n.news.naver.com/mnews/article/003/0013186753
"엔비디아 악재에 암호화폐도 일제 하락, 리플 2.23%↓",미국 정부가 또다시 대중 인공지능(AI) 전용 칩 수출을 제한함에 따라 엔비디아 주가가 급락하자 주요 암호화폐(가상화폐)도 일제히 하락하고 있다. 16일 오전 11시 20분 현재 글로벌 코인 시황 중계사이트인 코인마,https://n.news.naver.com/mnews/article/421/0008195866
"어드밴텍, 방폭 인증 터치 패널 PC 'SPC-618WE RPL' 출시",위험 환경 위한 고성능 컴퓨팅 솔루션…IECEx/ATEX 및 C1D2 인증 획득 산업용 IoT 및 임베디드 플랫폼 분야 글로벌 기업 어드밴텍이 스마트 산업의 위험 환경을 겨냥한 최초의 방폭 터치 패널 PC 'SPC-,https://n.news.naver.com/mnews/article/030/0003303854
"LGU+, 통신기술로 시각장애인 시내버스 탑승 돕는다",현대차·기아 ‘데이지기술개발’ 수주 진동으로 탑승 위치·방향 등 안내 LG유플러스 연구원들이 데이지 솔루션을 이용해 시각장애인의 버스 탑승을 시연하고 있다. [LG유플러스 제공] LG유플러스가 현대자동차·기아와 함께,https://n.news.naver.com/mnews/article/016/0002458131
"SK C&C, 디지털금융 슈퍼앱 성공 구현","‘NH올원뱅크·NH콕뱅크’ 고도화 “비대면 이용, 풀뱅킹서비스 완성” SK C&C(사진)는 농협중앙회와 NH농협은행이 공동 추진한 ‘NH농협 디지털금융 플랫폼 전환 구축 사업’을 성공적으로 완료했다고 16일 밝혔다.",https://n.news.naver.com/mnews/article/016/0002458128
"BBQ 아이캔리부트, ‘더현대 서울’ 입점",최근 BBQ의 계열사가 된 푸드 서비스 전문 기업 ‘파티센타’의 ‘아이캔리부트’가 친환경 프리미엄 도시락 시장에 본격적으로 나선다. 제너시스BBQ 그룹은 산하 프리미엄 도시락과 구독형 브런치 브랜드인 ‘아이캔리부트’,https://n.news.naver.com/mnews/article/092/0002370830
두나무 ‘업비트 데이터 랩’ 출시,UBCI 경험바탕 통합데이터 플랫폼 심도 있는 가상자산 인사이트 제공 업비트의 디지털 자산 지수 UBCI가 ‘업비트 데이터 랩’(사진)으로 전격 개편됐다. 이를 발판 삼아 투자자들의 의사 결정을 돕는 가상 자산 통합,https://n.news.naver.com/mnews/article/016/0002458118
"내가 원하는 대로 지도 꾸민다…네이버, 지도 제작 기능 개편","네이버가 지도 내 주요 구역 색상, 글꼴, 아이콘 등을 개발자 취향에 맞게 자유롭게 편집할 수 있는 기능을 선보였다. 최근 구글이 고정밀 지도 데이터의 해외 반출을 정부에 신청한 가운데 네이버도 지도 서비스 경쟁력 ",https://n.news.naver.com/mnews/article/003/0013186722
"MS 등에 업은 KT, 미디어 전략 시동",미디어 AI ‘지니 TV’ 플랫폼 탑재 FAST·숏폼등 모델로 글로벌 진출 신설 AI스튜디오랩 ‘AX혁신’ 가속 김채희 KT 미디어부문장이 16일 안다즈 서울강남 호텔에서 열린 간담회에서 ‘KT 미디어 뉴웨이’ 전략,https://n.news.naver.com/mnews/article/016/0002458114
"어드밴텍, 디지털 변전소 표준 이끄는 'EKI-8528'로 산업용 네트워크 시장 공략 가속",산업용 IoT 및 엣지 네트워크 솔루션 선도 기업 어드밴텍이 디지털 변전소와 전력 유틸리티 시장을 겨냥한 고성능 이더넷 스위치 'EKI-8528'을 앞세워 산업용 네트워크 시장 공략에 속도를 내고 있다. 어드밴텍의 ,https://n.news.naver.com/mnews/article/030/0003303853
"아이티센코어, 멀티모달 AI 콘텐츠 기업 맥케이와 '맞손'",아이티센코어(구 굿센)는 멀티모달(Multimodal) 인공지능(AI) 콘텐츠 생성 기업 맥케이와 AI 기술 협력을 위한 전략적 업무협약(MOU)을 체결했다고 16일 밝혔다. 아이티센코어는 산업 특화 전사적자원관리(,https://n.news.naver.com/mnews/article/003/0013186720
“뉴스는 담당자 숙취로 쉽니다” 엄숙한 제약업계의 파격 변신,동아쏘시오그룹 텔레그램 채널 등 젊은 감성 무장 파격적 홍보 눈길 20~30대 겨냥한 쇼츠도 인기몰이 ‘썸남 앞에서 트림 할 뻔한 사연’을 담은 ‘베나치오’ 유튜브 쇼츠 [동아제약 유튜브] “오늘 뉴스는 담당자 숙취,https://n.news.naver.com/mnews/article/016/0002458112
[그래픽] 미국-중국 주요 수출 규제 현황,도널드 트럼프 미국 행정부가 인공지능(AI) 칩 선두 주자 엔비디아 H20 칩의 중국 수출을 제한했다. 전세계를 상대로 관세전쟁을 벌이고 있는 트럼프 행정부가 중국에 대한 압박을 강화한 것으로 풀이된다. yoon2@,https://n.news.naver.com/mnews/article/001/0015333211
"삼성SDS, '인더스트리 데이’ 개최…제조 산업의 디지털 미래 제시",삼성SDS는 서울 송파구 잠실 스카이31 컨벤션에서 제조 기업을 대상으로 '제조의 미래를 준비하는 삼성SDS 인더스트리 데이'세미나를 개최했다고 16일 밝혔다. 제조 기업 IT 담당자 300여명이 참석한 이날 행사에,https://n.news.naver.com/mnews/article/003/0013186717
"삼성SDS, ‘Industry Day’에서 제조 기업의 미래 제시",삼성SDS는 16일 잠실 스카이31 컨벤션에서 제조 기업을 대상으로 ‘제조의 미래를 준비하는 삼성SDS Industry Day’ 세미나를 개최했다고 밝혔다. 이번 세미나는 삼성SDS만의 차별화된 생성형 인공지능(AI,https://n.news.naver.com/mnews/article/014/0005336716
"카카오뱅크, 키움증권과 MOU 체결…""투자 서비스 결합 강화""",카카오뱅크가 키움증권과 투자 서비스 결합을 강화하는 골자의 업무협약(MOU)을 체결했다고 16일 밝혔다. 카카오뱅크는 연내 애플리케이션(앱)에서 간편하게 개설 가능한 '키움증권 주식계좌개설 서비스'를 출시할 예정이며,https://n.news.naver.com/mnews/article/092/0002370829
